Available Voltage in % CH,,,,,
,,,,,
ID,Starting Voltage,,Last Packet Voltage,,Aval Vol in %
1.1,3273,,2695,,83
1.14,3230,,2558,,80
1.3,3273,,2695,,83
1.9,3250,,2656,,82
,,,,,
Available Voltage in % CM,,,,,
,,,,,
ID,Starting Voltage,,Last Packet Voltage,,Aval Vol in %
,,,,,
1.12,3203,,2703,,85
1.16,3273,,2738,,84
1.18,3250,,2656,,82
1.19,3273,,2695,,83
1.2,3250,,2703,,84
1.4,3250,,2703,,84
1.7,3230,,2695,,84
1.8,3273,,2695,,83
,,,,,
,,,,,
Sensor Nodes,Initial Voltage,Voltage in Last Packet Received,,,
1,3273,2695,,,
2,3230,2558,,,
3,3273,2695,,,
4,3250,2656,,,
5,3203,2703,,,
6,3273,2738,,,
7,3250,2656,,,
8,3273,2695,,,
9,3250,2703,,,
10,3250,2703,,,
11,3230,2695,,,
12,3273,2695,,,
