1.19: 742, 1.16: 809, 1.7: 957, 1.2: 922, 1.8: 968, 1.18: 727, 1.4: 1000, 1.12: 967
1.9: 3084, 1.3: 2698, 1.10: 3289, 1.14: 3210,,,,
,,,,,,,
,,,,,,,
Sent Packets Members,,,Total Packets,,Received Packets,,PDR
1.12,207,832,1039,,967,,93.07025987
1.16,209,830,1039,,809,,77.86333013
1.18,203,832,1035,,727,,70.24154589
1.19,210,831,1041,,742,,71.27761768
1.2,210,831,1041,,922,,88.56868396
1.4,210,833,1043,,1000,,95.87727709
1.7,209,833,1042,,957,,91.84261036
1.8,206,832,1038,,968,,93.25626204
,,,8318,,7092,,85.26088002
,,,,,,,
Sent Packets Members,,,Total Packets,,Received Packets,,PDR
1.1,695,2722,3417,,3289,,96.254024
1.14,688,2777,3465,,3210,,92.64069264
1.3,701,2754,3455,,2698,,78.08972504
1.9,693,2750,3443,,3084,,89.57304676
,,,13780,,12281,,89.12191582
