116954,5138556,40916,573126,12468,642906,5130,71276
129462,5781080,46044,644022,12508,642524,5128,70896
166660,7710276,61360,857840,12194,643460,5060,70798
179122,8353188,66492,929110,12462,642912,5132,71270
191618,8995724,71626,1000530,12496,642536,5134,71420
204126,9638594,76762,1071766,12508,642870,5136,71236
216622,10281460,81892,1143016,12496,642866,5130,71250
228828,10924908,86956,1213802,12206,643448,5064,70786
241296,11567814,92084,1285080,12468,642906,5128,71278
253830,12210312,97214,1356502,12534,642498,5130,71422
